source,content
haberturk,"İzmir'in Urla ilçesinde bir devlet kurumunda geçen şubat ayında hizmetli olarak çalışmaya başlayan Ö.K., kurum müdürü E.D.'nin kendisine cinsel saldırıda bulunduğu iddiasıyla suç duyurusunda bulundu.Mağdur Ö.K., savcılıkta verdiği ifadesinde, ""İki üç haftadır müdürün odasına içecek götürürken elime ve sırtıma dokunarak beni rahatsız ediyor. Kendisi hakkında 'Sen beni mutlu edersin' gibi cümleler kurduğumu ileri sürüyor. Hafta sonları çalışmıyorum. Kendisi cumartesi günü öğleden sonra beni ek hizmet binasında bekleyeceğini söyledi. Eşimden ayrılma sürecinde olduğumu, hastaneye gitmem gerektiğini söyledim. O sırada beni kendine çekip, dudağımdan öptü. Kendimi geri çekip, oradan kaçtım. Şikayetçiyim"" dedi.Şikayet üzerine başlatılan soruşturma tamamlanarak iddianame hazırlandı. Urla 2. Asliye Ceza Mahkemesi tarafından kabul edilen iddianamede sanık E.D. hakkında 'sarkıntılık yapmak suretiyle cinsel saldırı' suçundan 7 yıla kadar hapis cezası istendi.Bugün görülen davaya, tutuksuz yargılanan sanık E.D., mağdur Ö.K.'nın avukatı Saadet Gülgen Kayaalp, İzmir Barosu Kadın Hakları Merkezi'nden Sorumlu Yönetim Kurulu Üyesi Avukat Elçin Kılınçer Ot, Urla Kadın Dayanışma Derneği, Atatürkçü Düşünce Derneği (ADD) Urla Şubesi, Eğitim-İş ve siyasi parti temsilcileri katıldı. İzmir Barosu da davaya müdahil olarak katılma talebinde bulundu.Duruşmada ifade veren ve üzerine atılı suçlamaları kabul etmeyen kurum müdürü E.D., ""Kendisini 1 aydır geçici hizmetli olarak çalışması sebebiyle tanıyorum. Şikayetçi, haftada bir bulunduğum binaya gelirdi.Müdür yardımcısı disiplinsiz davrandığını, sorun yaşadığını ve çözüm bulmam gerektiğini söyledi. Kurumu habersiz terk ettiğini fark ettim. Kendisini telefonla arayıp, sordum. Özür diledi. O gün gelip, bunu kendisine soracaktım. Fakat bir cenazeye gitmem gerektiği için kurumdan ayrıldım. Evli ve çocuklu bir insanım. Bana iftira atıyor. Suçlamaları kabul etmiyorum"" dedi.Ö.K.'nın avukatı Kayaalp ise bir önceki duruşmada mağdur ve failin mahkemede karşı karşıya gelmesinin mağdur üzerinde olumsuz psikolojik etki yarattığını belirtip, mağdur ile failin karşı karşıya kalmasının ikincil ve üçüncül travmalar yaşamasına neden olduğunu ve mağdurun kendini yeterince ifade edememesi, kendisini fail durumunda hissetmesi durumunun oluştuğunu dile getirdi. Ö.K.'nın adli görüşme odası temin edilerek, sosyal çalışmacı desteğiyle kendisini sağlıklı ifade etmesi ve kamera kaydının Ses ve Görüntü Bilişim Sistemi (SEGBİS) ile mahkemede izlenmesini talep etti.Mahkeme heyeti, mağdurla ilgili Adli Tıp Kurumu'ndan gelecek rapordan sonra, talebi değerlendireceğini belirtip, duruşmayı ileri bir tarihe erteledi.*Haberin görseli DHA tarafından servis edilmiştir."
haberturk,"Olay, İstanbul'da meydana geldi.İş adamının cansız bedeni boş arazide 5 yıl sonra bulunmuştu. Cinayet davası karara bağlandı. İki saldırgan müebbet hapis cezası aldı. Ancak öldürülen iş adamının yakınları, katilin akrabası da olan avukatlarına saldırdı.O anlar güvenlik kamerasına anbean yansıdı.Saldırı sonrası öldürülen iş adamının ailesinden 4 kişi tutuklanarak cezaevine gönderildi."
haberturk,"Küçükçekmece Atatürk Mahallesi’nde Pazar günü saat 15.30’da 7 kişilik grup içinde bulunan B.G. ile Utku Altun (18), ‘kız meselesi’ yüzünden tartışmaya başlamıştı.Tartışmanın büyümesiyle Utku Altun, arkadaşı olan B.G.’ye tokat atmıştı. Bunun üzerine B.G., yanındaki silahla Utku Altun ve Ali N.’yi yaralamış ardından olay yerinden kaçmıştı.Polis ekipleri olayla ilgili çalışma başlattı. Yapılan çalışmalar sonucunda, B.G. isimli şüpheli şahıs Atatürk Mahallesi'nde polis ekipleri tarafından yakalanarak gözaltına alındı.Şüpheli şahıs, emniyetteki işlemlerin ardından ""Kasten Öldürmeye Teşebbüs” suçundan adliyeye sevk edildi. Olayda yaralanarak hastaneye kaldırılan Ali N.’nin hayati tehlikesinin olmadığı öğrenilirken, ağır yaralanan ve yoğun bakımda olan Utku Altun’un ise durumunun ciddiyetini koruduğu öğrenildi.Öte yandan, Utku Altun’un babası Vezir Altun olay anını anlatarak B.G. isimli şahsın Altun'un çocukluk arkadaşı olduğunu söyledi. Kurşunun akciğerinden girip sırtından çıktığını belirten baba Altun, doktorlardan haber beklediğini kaydetti.Utku Altun'un hayati tehlikesinin sürdüğünü dile getiren baba Vezir Altun, ""Utku'nun şu anda hayati tehlikesi devam ediyor. Doktordan haber bekliyoruz. Kurşun akciğerinden girmiş sırtından çıkmış. Utku'yu vuran kişi çocukluk arkadaşı. Bir kız varmış ikisinin de arkadaşıymış. """"Vuran kişiyi dolduruşa getirmiş bunlar da birbirlerine telefon açmışlar gel konuşalım diye. Buluştukları zaman konuşma esnasında vuran kişi Utku'ya küfür ediyor. Utku'da çocuğa tokat atıyor. Daha sonra da çocuk silahı çıkartıp çocuğuma ateş ediyor. Hemen vuruluyor ve kaçmaya başlıyor. Çocuk şarjör değiştirip sağa sola ateş ediyor. 1 kişiyi de ellerinden vuruyor. O çocuğun da elleri kesilmiş"" şeklinde konuştu.*Haberin görseli İHA tarafından servis edilmiştir."
haberturk,"Diyarbakır'daOlay, akşam saatlerinde Sur ilçesi Cami Nebi Mahallesi, Hazreti Süleyman Caddesi'nde meydana geldi.Aralarında henüz bilinmeyen nedenle husumet olan isimleri öğrenilmeyen iki kardeş cadde üzerinde karşılaşınca tartıştı.Tartışmada ağabeyi, kardeşine satır ve bıçakla saldırdı. Kimsenin yaralanmadığı olayda, çevredekiler araya girerek ağabeyi olay yerinden uzaklaştırdı.O anlar cep telefonu kamerasına yansırken, Sur ilçe Emniyet Müdürlüğü´ne giden kardeşler birbirlerinden şikayetçi oldu. Kardeşlerin emniyetteki işlemleri sürüyor."
haberturk,"Olay, Çanakkale'de meydana geldi.Aşık olduğu adamdan evlilik teklifi alan kadın, kutlama yapmak için Bozcaada'daki Polen tepelerine çıktı. 30 metre yükseklikten düşen kadın hayatını kaybetti. Uçurumdan düşen 39 yaşındaki kadının katili sevgilisi çıktı.Sakarya'da gözaltına alınan şüpheli kasten öldürme suçundan tutuklanarak cezaevine gönderildi."
haberturk,"İBB Başkanı Ekrem İmamoğlu İBB burs sonuçlarının açıklandığı duyururken, ""Cumhuriyetimizin 100. yılında 100.000 üniversite öğrencisine 7500 TL eğitim desteği veriyoruz."" ifadelerini kullandı. ""Genç Üniversiteli Desteği"" ödemeleri 3 taksit şeklinde hesaplara yatacak. Peki, ""İBB ilk burs ödemesi ne zaman yatacak?"" İşte İBB ilk burs ödemesinin yatacağı tarih...İBB BURS SONUÇLARI AÇIKLANDIİBB Başkanı Ekrem İmamoğlu Twitter hesabından İBB burs sonuçlarının açıklandığını duyurdu 'Cumhuriyetimizin 100. yılında 100.000 üniversite öğrencisine 7500 TL eğitim desteği veriyoruz. İlk taksitler çarşamba günü hesaplara yatırılacak. Güle güle kullanın.' açıklamasını yaptı.İBB BURS BAŞVURU TARİHLERİ 26 Eylül’de başlayan İBB burs başvuruları 3 Kasım'da sona ermişti.ÖDEME 3 TAKSİT OLARAK GERÇEKLEŞTİRİLECEK""Genç Üniversiteli Desteği"" ödemesi; aralık, şubat ve mart ayları olmak üzere 3 taksit şeklinde gerçekleştirilecek. İBB BURS ÜCRETLERİ NE ZAMAN YATACAK?İBB ilk burs ödemelerinin yapılacağı tarih belli oldu. Söz konusu ödemenin ilk taksiti 20 Aralık Çarşamba günü başlayacak. Ödeme gerçekleştikten sonra öğrenciye SMS ile bilgi verilecek."
haberturk,"Denizli 1. Ağır Ceza Mahkemesindeki karar duruşmasına, tutuklu sanık Mithat Kocadağ (31), tutuklu bulunduğu cezaevinden Ses ve Görüntü Bilişim Sistemi (SEGBİS) aracılığıyla katıldı. Sanığın ailesi ile taraf avukatları salonda hazır bulundu.Fotoğraf: DHASon sözü sorulan sanık Mithat Kocadağ, eşini çok sevdiğini ve yaşanan olaydan dolayı üzüntülü olduğunu ifade ederek, ""Eşimle mutlu olalım diye hep geçinmeye çalıştım. Olay günü bir anlık cinnet getirdim. Ağzını kapattığımı hatırlamıyorum. Bir anda oldu. Bir anlık cinnetle oldu, çok pişmanım. Aileme, eşimin ailesine ve oğluma yaşattıklarım için pişmanım. Çocuğumun yüzüne bakacak halim yok."" diye konuştu.Fotoğraf: DHAİNTERNETTEN ""BİR CESET NE KADAR SÜREDE BOZULUR"" ARAMASI YAPMIŞCumhuriyet savcısı esas hakkındaki mütalaasında sanığın, televizyon programında anlattıkları ve ifadelerinde söyledikleri, otopsi raporları, tanık beyanları, telefon kayıtları ve sanığın mahkemedeki savunmaları ile elde edilen deliller ışığında, boşanma aşamasındaki eşini boğarak öldürdüğünün sabit olduğunu belirtti.Fotoğraf: DHASanığın telefon kayıtlarındaki incelemelerde ortaya çıkan ""Bir ceset ne kadar sürede bozulur"" gibi aramalarda suçu tasarladığının kesin olduğunu, cinayetten sonra kayıp başvurusunda bulunarak kolluk kuvvetlerini oyaladığını aktaran savcı, Kocadağ'ın tahrik ve takdir indirimleri uygulanmaksızın ""kadına karşı tasarlayarak öldürme"" suçundan ağırlaştırılmış müebbet hapse mahkum edilmesini talep etti.Fotoğraf: DHADavayı karara bağlayan mahkeme heyeti sanığa, ""eşe karşı tasarlayarak kasten öldürme"" suçundan ağırlaştırılmış müebbet hapis cezası verdi. Sanığın tutukluluk halinin de devamı kararlaştırıldı.Fotoğraf: DHANE OLMUŞTU?Pamukkale ilçesine bağlı Gözler Mahallesi'nde yaşayan Mithat Kocadağ (31), eşi Mine Kocadağ (25) için 18 Ağustos 2022'de kayıp başvurusunda bulunmuş, o dönem yapılan aramalardan sonuç alınamamıştı.Fotoğraf: DHATelevizyon programına katılan Mine Kocadağ'ın ağabeyi Tayfun Koç, kardeşinin kocası tarafından öldürüldüğünü iddia etmişti. Fotoğraf: DHAYürütülen soruşturmada Mithat Kocadağ, kayıp ihbarı yaptığı tarihten yaklaşık 8 ay sonra eşini öldürdüğünü itiraf etmiş, ceset, kendisinin de bir dönem çalıştığı otele ait araziye yarı gömülü çuval içinde bulunmuştu.Fotoğraf: DHAÖn otopside kadının boğularak öldürüldüğü tespit edilmiş, Mithat Kocadağ tutuklanmıştı. Fotoğraf: DHACumhuriyet savcısı, sanık hakkında ""eşe karşı tasarlayarak kasten öldürme"" suçundan ağırlaştırılmış müebbet hapis ve ""eşe karşı nitelikli cinsel saldırı"" suçundan da hapis cezası talep etmişti.Fotoğraf: DHA"
haberturk,"Yer Bilimci Prof. Dr. Naci Görür, katıldığı 'Marmara Depremi ve Sanayide Deprem Etkisi' konulu panelde “Bu işin şakası yok. Çocuk olmayın. Size ne hangi fay kırıldı, hangisi kırılacak, kaç sene geçti ne olacak Siz yer bilimci misiniz Vazgeçin bundan. Sizin bilmeniz gereken Marmara bir deprem tehdidi altında. Bilim dünyası bunu söylüyor. Bizim yapacağımız iş depreme hazırlanmak, bizi yönetenleri depreme hazırlamak için kentimizi, bulunduğumuz yeri onlardan talep etmek, zorlamak. Bize düşen görev bu dedi.Gebze Ticaret Odası (GTO) ve Türk Mühendis ve Mimar Odaları Birliği (TMMOB) iş birliğinde 'Marmara Depremi ve Sanayide Deprem Etkisi' konulu panel Prof. Dr. Naci Görür’ün katılımıyla, Kocaeli’nin Gebze ilçesinde bulunan Osman Hamdi Bey Kültür Merkezi’nde yapıldı Panele oda başkan ve yöneticileri, mühendis ve mimarlar ile sanayiciler katıldı.'NE OLDU Kİ İSTANBUL’DA DEPREM YOK DENİLİYOR'Beklenen İstanbul depremi ile ilgili konuşan Prof. Dr. Naci Görür, “Diyorlar ki ‘İstanbul'da o olmayacak, bu olmayacak bilmem ne.’ Şimdi şöyle düşünün, İstanbul'da depremin olduğu jeolojik süreçlerin dışında tarihi süreç de bile var. Yani İstanbul'da 1509 depremini Osmanlıca kitaplar yazıyor. Bizans dönemindeki depremler Bizans kayıtlarında var. 1506’da var, 1706’da var, 1894’te var, yakında 1999’da var. Yani Marmara Denizi bir deprem denizi, o denizi çalışan insanlar olarak biliyoruz. Var oluşunun nedeni fay. O fay çalıştığı için bu deniz olmuş. Bir de hiç depremi bilmeyen bir tarihçi size hangi depremlerin olduğunu söyler. Hatta Osmanlı kayıtlarında ‘zelzele’ derler. ‘Zelzele oldu, padişah şu kadar bilmem ne dağıttı. Padişah kalktı, Edirne'ye gitti’ veya ‘o zelzeleden dolayı şuna şu kadar para verildi, şu kadar mal gönderildi’ diye kayıtlar da var. Yani İstanbul'un tarihinde deprem var. Ne oldu ki şimdi ‘İstanbul'da deprem yok’ deniliyor. Yani ‘o fay kırıldı, bu fay kırıldı, Naci Görür yalan söyledi, yanlış söyledi’ önemli değil. İstanbul'da deprem var. Dün varsa günün birinde yine olacak demektir. Yani ‘İstanbul'da depreme hazır olun’ demenin neresi yanlış da kalkıp insanlara ‘deprem olmayacak’ diye pozlar veriyorsun Bırak insanlar hazırlansın. Bırak da devlet, hükümet gereğini yapsın. Bilgileri kendinden menkul, kendilerine bir paye çıkartmak isteyen bilim fukaralarına hiç rağbet etmeyin, gereği yok” dedi.'DEPREM OLACAK'“Marmara’da deprem olmak zorunda” diyen Prof. Dr. Görür, “Bu ülkenin bilim insanları olarak Marmara'da 14 sene bütün uluslararası gemilerle, Fransız, İtalyan ve 2 Türk gemisiyle yapılan bütün araştırmaların Türk tarafının başkanı olarak söylüyorum Marmara tehdit altında, Marmara'da deprem olmak zorunda. Ne kadar gecikirse daha ağır geliyor demektir. Daha fazla hallaç pamuğu gibi atacak demektir. Deprem olacak” ifadelerini kullandı.'SİZE NE HANGİ FAY KIRILDI, HANGİSİ KIRILACAK'Yapılacak işin depreme hazırlanmak olduğunu kaydeden Prof. Dr. Görür, şöyle konuştu ‘1999 bir milattır. Bundan sonra hiçbir şey eskisi gibi olmayacak.’ Şimdi gülesim geliyor. Ne oldu Kaç sene geçti Milat bitti. Şimdi de yeni milat. 6 Şubat’tan sonra eskisi gibi olmayacaktır. Bize yakışmıyor. Millet olarak yakışmıyor. Yani siyaset yakıştırsa bile milletin yakıştırmaması lazım. Mülkün sahibi milletin kendisidir. Sizin oylarınızla ya ben bir yere gelirim veya sizin oylarınızla giderim. Ülkenin sorumluluğu sizin sırtınızda. İstediğinizi, istediğiniz zaman yaptırabilirsiniz. Sizin istediğinizi yapmayanı da siz görmezsiniz, çeker gider. Bu işin şakası yok. Çocuk olmayın. Size ne hangi fay kırıldı, hangisi kırılacak, kaç sene geçti ne olacak Siz yer bilimci misiniz Vazgeçin bundan. Sizin bilmeniz gereken Marmara bir deprem tehdidi altında. Bilim dünyası bunu söylüyor. Bizim yapacağımız iş depreme hazırlanmak, bizi yönetenleri depreme hazırlamak için kentimizi, bulunduğumuz yeri onlardan talep etmek, zorlamak. Bize düşen görev bu dedi.'AKLIMIZI BAŞIMIZA TOPLAYALIM'Depremin siyaset üstü olduğunu belirten Prof. Dr. Görür “İstediğimiz hangi parti olursa ona oy verelim ama oy vereceğimiz partiye diyelim ki ‘benim yaşadığım yerleri deprem dirençli hale getireceksin. Benim yaşadığım alanları, kentimi deprem dayanımlı hale getireceksin.’ Bunu yapacak fikrin, zikrin, iraden, niyetin varsa planın, programın varsa benim oyumu alırsın. Eğer yoksa seni sandığa gömerim. Deprem siyaset üstüdür. Biz göçük altında yavrularımızı, kadınlarımızı, insanlarımızı bu CHP'li, bu AK Partili, bu MHP'li diye toplamıyoruz. Kendi insanımız. Aklımızı başımıza toplayalım. Tek yapacağımız ne biliyor musunuz Öyle uzun uzun mücadele değil, oy kullanırken sandığa giderken bunu iste, talep et. Bunu yapan bir millet değiliz. Ne oldu bu millete Bu nedir onu anlamıyorum. Bu nedir, nasıl bir hava” diye konuştu.'EYT’LİLER KADAR OLAMIYOR MUYUZ'“EYT’liler kadar olamıyor muyuz” diyen Görür, “Cumhurbaşkanı seçimleri oldu. O seçimlerde cumhurbaşkanı adayları tartıştı. Binlerce, yüzlerce toplantı yaptılar. Oralarda çıkıp da 3 kişi, 5 kişi ‘deprem dirençli kent istiyoruz’ diye bir pankart kaldırmadı. Bir TV'ye çıktım, ‘bunu yapın’ dedim. Yani Van'da mı konuşuyor bir aday ‘Deprem dirençli Van istiyoruz.’ Elazığ'da mı konuşuyor ‘Deprem dirençli Elazığ istiyoruz.’ Bunu siz kaldırsaydınız emin ol cumhurbaşkanı adayları bunu gündemlerine alırdı. EYT'lilere Cumhurbaşkanı ne dedi ‘Ben bilsem ki dedi iktidarı kaybedeceğim, EYT'lilere yani tabiri caizse zırnık bile vermem.’ Ne oldu sonra Verdi değil mi EYT'liler kadar olamıyor muyuz Kendi geleceğimizi, neslimizi, çoluk çocuğumuzun can güvenliğini neden millet olarak ciddiye alamıyoruz Bu da bana dert oluyor” dedi.Haberin görseli İHA tarafından servis edilmiştir"
haberturk,"Çanakkale'de Bozcaada'nın Polente Burnu'na, erkek arkadaşı Nizamettin Gürsu ile gün batımını seyretmeye giden Yeşim Demir'in (39) düşüp hayatını kaybetmesiyle ilgili soruşturma tamamlandı.Olay, 7 Temmuz'da, Bozcaada ilçesinde meydana geldi. İlçede tatil yapan Yeşim Demir ile erkek arkadaşı Nizamettin Gürsu, 6 Temmuz akşamı otomobille Polente Burnu'nda gün batımını izlemeye gitti.Rüzgar gülleri ve güneşin batışını seyreden ikili, iddiaya göre, uçurum kenarında alkol aldı. Demir, saat 23.30 sıralarında bilinmeyen nedenle 32 metre yükseklikteki uçurumdan yuvarlandı.İhbarla bölgeye çok sayıda ekip gönderildi. Sağlık görevlilerinin 45 dakika kalp masajı yaptığı Demir kurtarılamadı. Demir'in cenazesi, Çanakkale Adli Tıp Kurumu'na kaldırıldı.İlçe Jandarma Komutanlığı'na götürülen Nizamettin Gürsu, ifadesinin alınmasının ardından sevk edildiği nöbetçi mahkemede yurt dışı yasağı koyulup, tutuksuz yargılanmak üzere serbest bırakıldı.Olayla ilgili, Ezine Cumhuriyet Başsavcılığı'nın yürüttüğü soruşturma tamamlandı. Bu kapsamda olay yerinde elde edilen deliller ışığında Nizamettin Gürsu, Sakarya'da tekrar gözaltına alındı.  Çanakkale'ye getirilen Gürsu, sevk edildiği adliyede çıkarıldığı mahkemede 'Kasten öldürme' suçundan tutuklandı."
haberturk,"Kocaeli'nin Derince ilçesi İbni Sina Mahallesi Şeker Sokak'ta yaşayan Talip ile Emine Mintemur çiftinin 2 yaşındaki kızı Sinay Mina'da, rahatsızlanmasının ardından yüksek ateş çıktı.Annesi tarafından Derince Eğitim ve Araştırma Hastanesi'ne götürülen Sinay Mina, muayenenin ardından ilaç almak için gittikleri eczanede fenalaştı.Tekrardan yükselen ateş nedeniyle hastaneye kaldırılan Sinay, tüm müdahalelere rağmen kurtarılamadı.Sinay'ın cenazesi, Muratevler Cami'de kılınacak namazın ardından Derince Şehitlik Mezarlığı'nda toprağa verilecek."
